萹	bmcc
沔	mmdv
渑	ugdd
勉	mmdl
湎	mmdm
棉	mmmj
娩	mmnv
眄	mmov
眠	mmom
腼	mmom
冕	mmov
绵	mmsj
缅	mmsm
愐	mmxm
秒	mnhu
苗	mnct
藐	mnce
鹋	mncn
渺	mndu
描	mnft
庙	mngy
喵	mnkt
杪	mnmu
妙	mnnu
瞄	mnot
眇	mnou
缈	mnsu
缪	mzsp
淼	mnuu
邈	mnze
末	moan
无	wu
寞	mobd
瘼	mobd
莫	mocd
蘑	mocu
茉	mocm
蓦	mocm
摹	mocu
藦	mocu
漠	modd
沫	modm
殁	mody
陌	moeb
摸	mofd
磨	mogu
魔	mogg
靺	mogm
墨	moht
秣	mohm
默	mohq
镆	mojd
耱	molu
模	mumd
嬷	monm
嫫	mond
膜	mood
馍	moud
貊	movb
貘	movd
尛	moxx
谟	moyd
灭	mpah
蔑	mpcu
搣	mpfm
蠛	mpiu
咩	mpky
篾	mpvu
乜	npvv
谬	mqyp
目	muka
木	muun
幕	mucj
苜	muco
募	mucl
莯	mucm
暮	muco
墓	muct
慕	mucx
沐	mudm
拇	mufm
穆	muhp
钼	mujo
毪	mumn
姆	munm
牡	munt
牧	munw
睦	muot
仫	murm
牟	mzsn
坶	mutm
母	muvd
亩	muwt
霂	muym
每	mwpm
寐	mwbw
莓	mwcm
渼	mwdd
湄	mwdo
浼	mwdv
嵋	mweo
魅	mwgw
煤	mwhm
镁	mwjd
镅	mwjo
槑	mwkm
梅	mwm
楣	mwmo
枚	mwmw
媒	mwnm
媚	mwno
妹	mwnw
昧	mwow
袂	mwpg
猸	mwqo
躾	mwud
眉	mwvo
郿	mwve
鹛	mwvn
玫	mwww
霉	mwym
酶	mwym
某	mzgm
蛑	mzin
哞	mzkn
眸	mzon
侔	mzrn
鍪	mzsj
谋	mzym
踎	mzzk
你	nirx
哪	nake
那	nave
捺	nafx
钠	najn
镎	naju
呢	nikb
呐	nekn
嗱	naku
娜	none
肭	naon
衲	napn
拿	naru
纳	nasn
南	njug
乸	naym
雫	nayx
您	nbrx
恁	nfrx
闹	ncmj
孬	ncbz
淖	ncd
挠	ncfw
蛲	nciw
铙	ncjw
呶	ncky
桡	rcmw
嫐	ncnn
脑	ncok
猱	ncqm
㑎	ncre
垴	nctk
硇	ncux
瑙	ncwx
恼	ncxk
萘	ndcx
艿	ndcn
奈	nddx
耐	ndec
柰	ndmx
奶	ndnn
鼐	ndnv
乃	ndvp
氖	ndqn
讷	neyn
嫩	nfnw
能	ngsb
囊	nhay
攮	nhfy
囔	nhky
曩	nhoy
泥	nidb
鲵	niae
溺	nndd
拟	nifr
旎	nifb
铌	nijb
鿭	nijx
匿	nikk
妮	ninb
妳	ninx
腻	nior
昵	niob
睨	nioe
猊	niqe
倪	nire
伲	nirb
坭	nitb
尼	niub
氼	niur
怩	nixb
霓	niye
逆	nizp
难	njyf
蝻	njig
喃	njkg
囡	njkn
楠	njmg
腩	njog
男	njtl
赧	njty
宁	nkbd
甯	nkby
苎	vuca
凝	nkdr
泞	nkdd
聍	nked
拧	nkfd
咛	nkkd
柠	nkmd
狞	nkqd
佞	nkrn
娘	nlnl
孃	nlny
酿	nlyl
年	nmpl
廿	nmaa
鲇	nmak
鲶	nmax
蔫	nmch
撵	nmfi
撚	nmfh
辇	nmfi
拈	nmfk
捻	nmfx
黏	nmhk
辗	vjin
唸	nmkx
粘	vjmk
念	nmrx
埝	nmtx
碾	nmun
惗	nmxx
鸟	nnwd
茑	nncn
脲	nnou
袅	nnpy
鳥	nnph
嬲	nntl
尿	svuu
挪	nofe
搦	nofd
锘	nojk
喏	nokk
糯	nome
傩	norf
懦	noxe
诺	noyk
捏	npft
孽	npcz
蘖	npcm
糵	npcm
苶	npcx
菍	npcx
涅	npdt
聂	npey
颞	nper
陧	npet
镊	npj
镍	npjm
啮	npkk
嗫	npky
蹑	npzy
臬	npzm
牛	nqpl
扭	nqfi
钮	nqji
妞	nqni
狃	nqqi
纽	nqsi
忸	nqx
暖	nroy
浓	nsdn
农	nsdn
秾	nshn
哝	nskn
脓	nson
侬	nsrn
虐	ntha
疟	ntba
怒	nunx
奴	nuny
弩	nung
帑	thnj
努	nunl
驽	nunm
胬	nunr
孥	nunz
女	nvva
恧	nvex
钕	nvjn
衄	nvxi
内	nwld
馁	nwun
耨	nzlc
/	ohnn
呣	omkm
喔	wokt
噢	ookd
欧	oukr
藕	oucy
沤	oudx
呕	oukx
鸥	oukn
瓯	oukw
区	qukx
殴	ouky
耦	ouly
偶	oury
怄	ouxx
讴	ouyx
平	pkau
屁	piub
怕	paxb
葩	pacb
𤆵	pahb
帕	pajb
啪	pakb
杷	pamb
爬	pavb
筢	pavb
舥	pavb
琶	pawb
趴	pazb
品	pbkk
贫	pbbr
聘	pbev
拼	pbfk
拚	pjfc
榀	pbm
嫔	pbnb
牝	pbnb
姘	pbnk
频	pbvr
颦	pbvu
跑	pczs
疱	pcbs
匏	pcds
泡	pcds
抛	pcfl
庖	pcgs
炮	pchs
咆	pcks
脬	pcoz
袍	pcps
狍	pcqs
排	pdff
蒎	pdcn
派	pddn
湃	pddf
拍	pdfb
徘	pdif
哌	pdkn
牌	pdpu
𠂢	pdpn
俳	pdrf
簰	pdvu
迫	pozb
盆	pfbm
湓	pfdm
喷	pfkr
碰	pguy
蓬	pgcz
芃	pgcf
澎	pgdp
捧	pgfl
抨	pgfp
蟛	pgip
嘭	pgkp
棚	pgmo
朋	pgoo
鹏	pgon
膨	pgop
堋	pgto
彭	pgup
硼	pguo
砰	pgup
篷	pgv
烹	pgwh
怦	pgxp
旁	phwf
蒡	phcf
滂	phdf
庞	phgl
螃	phif
耪	phlf
胖	phob
膖	phoz
乓	phqd
逄	phzl
批	pifb
疲	piby
丕	piba
邳	pipe
痞	pibk
癖	pibu
淠	pidl
陴	pieu
披	pify
擗	pifu
庀	pigb
蜱	piiu
蚍	piib
铍	pijy
啤	piku
匹	pike
噼	piku
枇	pimb
媲	pinb
脾	piou
郫	pipe
僻	piru
仳	pirb
纰	pisb
罴	pish
坯	pitp
毗	pitb
圮	pitj
埤	pitu
砒	piub
劈	piud
譬	piuk
嚭	piuk
鼙	piuu
甓	piuw
皮	pivy
貔	pivb
琵	piwb
霹	piyu
盘	pjvm
判	pjbd
叛	pjby
潘	pjdt
泮	pjdb
蟠	pjit
攀	pjmu
盼	pjod
盻	xiov
襻	pjpu
袢	pjpb
畔	pjtb
磐	pjv
爿	pjvp
槃	pjvm
蹒	pjzl
凭	pkrj
鲆	pkap
瓶	pkbw
萍	pkcp
苹	pkcp
洴	pkdk
帡	pkjk
呯	pkkp
枰	pkmp
娉	pknv
乒	pkqp
俜	pkrv
坪	pktp
评	pkyp
翩	pmhx
骗	pmmc
骈	pmmk
犏	pmnc
胼	pmok
偏	pmrc
篇	pmvc
谝	pmyc
蹁	pmzc
票	pnxx
漂	pndx
殍	pndz
螵	pnix
嘌	pnkx
朴	pumb
嫖	pnnx
瞟	pnox
缥	pnsx
飘	pnxx
剽	pnxd
瓢	pnxg
破	pouy
魄	pobg
皤	pobt
泼	podd
婆	podn
钋	pojb
钷	pojk
叵	pokk
攴	poly
粕	pomb
鄱	pope
坡	poty
颇	povr
笸	povk
珀	powb
撇	ppfw
苤	ppcp
瞥	ppdo
潎	ppdw
氕	ppqp
普	pubo
匍	pubf
莆	pucf
葡	puc
蒲	pucf
蒱	pucf
菩	puck
溥	pudc
浦	pudf
濮	pudn
扑	pufb
铺	pujf
镤	pujn
镨	pujo
噗	pukn
圃	pukf
氆	pumo
仆	purb
璞	puwn
谱	puyo
蹼	puzn
配	pwyj
沛	pwdl
陪	pwek
裴	pwfy
旆	pwfl
帔	pwj
锫	pwjk
赔	pwkk
呸	pwkp
毰	pwmk
胚	pwop
佩	pwr
辔	pwsk
培	pwtk
珮	pwwj
霈	pwyl
醅	pwyk
剖	pzld
掊	pzfk
咅	pzlk
裒	pzwy
去	quts
亲	qklm
寝	qbby
芹	qbcj
芩	qbcv
沁	qbdx
溱	vfdh
嵚	qber
秦	qbfh
擒	qbfs
揿	qbfr
螓	qbih
钦	qbjr
锓	qbjy
噙	qbkd
嗪	qbkh
吣	qbkx
檎	qbmd
勤	qbnl
侵	qbry
禽	qbrd
衾	qbry
琴	qbwv
覃	tjxu
弃	qiwc
七	qiav
炁	qiah
妻	qian
鳍	qiao
芑	qicj
萁	qicb
葺	qice
蕲	qicj
萋	qicn
芪	qicu
柒	qidm
漆	qidu
淇	qidb
沏	qidd
泣	qidl
凄	qidn
洓	qidn
汔	qidq
汽	qidq
欹	qidr
岂	qiej
屺	qiej
崎	qiek
亓	qiel
岖	quex
岐	qiey
旗	qifb
契	xpfd
麒	qigb
启	qihk
綮	qkhx
蛴	qiil
蜞	qiib
𬨂	qiiu
颀	qijr
器	qikk
嘁	qikx
耆	qilo
棋	qimb
骐	qimb
杞	qimj
桤	qimj
骑	qimk
栖	ximx
槭	qimx
娸	qinb
脐	qiol
气	qipv
祈	qipj
祺	qipb
祁	qipe
祇	qipu
乞	qipv
憩	qiqx
欺	qiqr
綦	qiqx
企	qirv
俟	siru
绮	qisk
起	qitj
圻	qitj
埼	qitk
畦	qitt
砌	qiud
碛	qiur
歧	qivy
琪	qiwb
琦	qiwk
齐	qiwl
戚	qiwx
讫	qiyq
蹊	xizd
踦	qizk
迄	qizq
请	qkyo
鲭	qkao
顷	qkbr
擎	qkcu
苘	qkck
檠	qkcm
清	qkdo
凊	qkdo
青	qkfo
靘	qkfb
郬	qkfe
庆	qkgd
庼	qkgr
黥	qkhx
轻	qkig
蜻	qkio
圊	qkko
晴	qkoo
暒	qkou
卿	qkpe
氢	qkqg
氰	qkqo
倾	qkr
罄	qkuf
謦	qkuk
磬	qkuu
箐	qkv
勍	qkwl
情	qkxo
蔷	qlck
抢	qlfv
炝	qlhv
蜣	qliv
镪	qlji
锵	qljc
锖	qljo
呛	qlk
枪	qlmv
樯	qlmk
嫱	qlnk
腔	qlog
襁	qlp
戕	qlpg
戗	qlrg
墙	qltk
羌	qlyv
羟	qlyg
跄	qlz
前	qmbd
歉	qmbr
骞	qmbm
搴	qmbu
褰	qmby
茜	xicx
荨	xycc
芊	qmcq
芡	qmcr
浅	qmdj
汧	qmdk
牵	qmdn
鹐	qmdn
潜	qmdo
欠	qmdr
嵌	qmer
岍	qmek
阡	qmeq
扦	qmfq
掮	qmfo
黔	qmhv
虔	qmhw
堑	qmit
椠	qmim
愆	qmix
钱	qmjj
铅	qmjk
钳	qmjg
钎	qmjq
钤	qmjv
肷	qmor
千	qmpu
仟	qmrq
佥	qmra
倩	qmro
缱	qmsz
纤	xmsq
墘	qmtq
签	qmva
慊	qpxn
悭	qmxt
谦	qmyn
谴	qmyz
迁	qmzq
遣	qmzk
桥	qnml
翘	qnax
窍	qnbv
荞	qncl
峭	qneo
撬	qnfm
巧	qngv
鞒	qngl
鞘	ucgo
锹	qnjh
橇	qnmm
樵	qnmh
瞧	qnoh
俏	qnro
劁	qnrd
侨	qnrl
缲	scsm
雀	qtuf
硚	qnul
硗	qnuw
敲	qnwy
悄	qnxo
愀	qnxh
憔	qnxh
乔	qnyl
谯	qnyh
诮	qnyo
跷	qnzw
窃	qpbd
挈	qpfu
锲	qpjd
妾	qpln
切	qpqd
箧	qpvj
怯	qpxs
郄	qpxe
惬	qpxj
求	qqad
鳅	qqah
酋	qqby
萩	qqch
泅	qqdr
秋	qqhh
鹙	qqhn
蚯	qqiq
虬	qqiv
蝤	qqiy
丘	qqpa
𨱇	qqjq
囚	qqkr
赇	qqkq
糗	qqmq
楸	qqmh
毬	qqmq
邱	qqqe
犰	qqqj
裘	qqqy
俅	qqrq
㞗	qquq
巯	qqvv
球	qqwq
逑	qqzq
鼽	qqzj
遒	qqzy
全	qrrw
鬈	qrav
泉	qrbu
痊	qrbw
颧	qrcr
荃	qrcw
券	qrd
犬	qrdd
拳	qrju
蜷	qriv
辁	qriw
铨	qrjw
权	qrmy
佺	qrrw
绻	qrs
畎	qrtq
筌	qrvw
瑔	qrwu
悛	qrxw
劝	qryl
诠	qryw
醛	qryw
踡	qrzv
穷	qsbl
穹	qsbg
茕	qsc
邛	qsge
蛩	qsgi
銎	qsgj
跫	qsgr
筇	qsve
琼	qswx
却	qtte
瘸	qtbr
鹊	qtcn
缺	qtfn
炔	qthn
阙	qtmr
榷	qtmf
阕	qtmt
确	qtuy
碏	qtuo
悫	qtux
𬒈	qtxu
癯	qubf
劬	qubl
蕖	qucm
蘧	qucz
渠	qudm
取	quey
娶	quen
觑	quhe
黢	quhw
蛐	qui
衢	quii
蛆	quiq
蠼	quiy
鼩	qujk
曲	qula
驱	qumx
欋	qumf
麴	qumm
阒	qumq
朐	quok
氍	quom
祛	qups
佢	qurj
趣	quty
趋	qute
屈	quui
磲	quum
躯	quux
龋	quvy
璩	quwu
诎	quyi
恰	qxxk
葜	qxcd
洽	qxdk
掐	qxfj
髂	qxgk
䠍	qxzy
群	qyyy
裙	qypk
夋	qysw
逡	qyzw
人	rfpn
入	rupn
绕	rcsw
荛	rccw
扰	rcfy
娆	rcnw
饶	rcuw
热	refh
惹	recx
任	rfrr
忍	rfrx
荏	rfcr
刃	rfdd
忈	rfex
稔	rfhx
轫	rfir
妊	rfnr
衽	rfpr
壬	rfqa
仁	rfre
仞	rfrr
纫	rfsr
饪	rfur
韧	rfwr
认	rfyr
讱	rfyr
仍	rgrn
扔	rgfn
礽	rgpn
让	rhyu
攘	rhfy
穰	rhhy
嚷	rhky
禳	rhpy
壤	rhty
瓤	rhwg
日	rika
䒤	rico
然	rjph
髯	rjar
苒	rjcr
染	rjdm
燃	rjhh
蚺	rjir
冉	rjla
珃	rjwr
若	rock
挼	rxfn
弱	rogd
婼	ronk
偌	rork
箬	rovk
叒	royy
软	rrir
阮	rre
朊	rroe
容	rsbk
融	rsai
冗	rsbj
荣	rscm
茸	rsce
蓉	rsck
溶	rsdk
嵘	rsem
戎	rsgu
熔	rshk
蝾	rsim
镕	rsjk
榕	rsmk
肜	rsop
狨	rsqu
绒	rssu
如	runk
茹	ruck
蓐	rucc
薷	ruce
汝	rudn
溽	rudc
濡	rude
洳	rudk
辱	ruic
蠕	ruie
铷	rujk
嚅	ruk
褥	rupc
襦	rupe
乳	rupv
儒	rure
缛	rusc
颥	ruyr
孺	ruze
蕊	rvcx
芮	rvcn
蕤	rvcu
汭	rvdn
蚋	rvin
锐	rvje
睿	rvlo
枘	rvmn
瑞	rvwe
惢	soxx
叡	rvyz
润	rydw
闰	rymw
肉	rznr
揉	rzfm
鞣	rzgm
厹	rzjs
糅	rzmm
柔	rzsm
蹂	rzzm
三	sjae
随	svez
撒	saf
卅	saal
萨	saci
洒	sadx
挲	uadu
飒	salx
脎	saom
仨	sars
扫	scfe
鳋	scai
瘙	scbi
溞	scdi
搔	scfi
骚	scmi
嫂	scny
臊	scom
缫	scsg
埽	sctj
赛	sdbr
鳃	sdax
塞	sebt
噻	sdkt
嘥	sdkr
嗮	sdkx
毸	sdmx
腮	sdox
色	uddb
涩	sedv
穑	sehk
铯	sejb
啬	seuk
瑟	sewb
森	sfmm
椮	sfmp
僧	sgro
桑	shym
搡	shfm
嗓	shkm
丧	shun
磉	shum
颡	shyr
四	sike
寺	sitc
肆	siay
兕	siae
死	sidb
泗	side
澌	sidj
凘	sidj
汜	sids
亖	siee
撕	sif
私	sihs
厮	siij
蛳	siij
锶	sijx
飔	sijx
嘶	sikj
咝	sika
嗣	sikk
耜	silk
驷	sime
姒	sinr
祀	sips
斯	siqj
似	uirr
食	uirl
偲	sirx
缌	sisx
思	sit
饲	siuk
司	sivk
丝	siva
笥	sivk
鸶	sivn
巳	sivv
散	sjcw
糁	ufmp
伞	sjru
叁	sjss
毵	sjsm
馓	sjuw
霰	xmyw
所	sopj
蓑	soc
娑	sodn
锁	sojr
唆	sokw
嗍	soko
唢	sokr
嗦	sokx
梭	som
桫	somu
睃	soow
缩	sosb
索	soux
琐	sowr
羧	soyw
算	srvc
蒜	srcx
狻	srqw
酸	sryw
送	sszt
宋	ssbm
颂	ssbr
菘	sscs
淞	ssds
凇	ssds
嵩	ssek
崧	sses
竦	sslu
松	ssms
耸	ssre
怂	ssrx
忪	ssxs
悚	ssxu
讼	ssys
诵	ssyy
苏	suc
稣	suah
塑	subt
宿	xqbb
窣	subu
蔌	sucr
觫	sudu
溯	sudo
涑	sudu
素	sufx
甦	sugu
夙	sujd
嗉	sukx
俗	surk
僳	surm
𫗧	suuu
肃	suvl
簌	suvr
玊	suw
粟	suxm
愫	suxx
诉	suy
酥	suyh
谡	suyw
速	suzu
岁	svex
荽	svcn
濉	svdf
隋	sveo
隧	svez
髓	svgz
燧	svhz
穗	svhx
穟	svhz
祟	svix
虽	svki
眭	svot
睢	svof
绥	svsn
碎	svuu
谇	svyu
遂	svzu
邃	svzu
荪	sycx
损	syfr
榫	symu
狲	syqx
隼	syru
笋	syvy
飧	syxl
孙	syzx
搜	szfy
薮	szcw
溲	szdy
擞	szfw
螋	sziy
飕	szjy
锼	szjy
嗽	szkr
嗾	szku
嗖	szky
瞍	szoy
叟	szpy
馊	szuy
艘	szvy
他	tary
它	tabb
她	tany
鳎	taax
溻	tadx
溚	tadk
拓	tofu
挞	tafz
铊	tojb
榻	tamx
闼	tamz
牠	tany
祂	tapy
獭	taqr
塌	tatx
塔	tatk
踏	tazo
遢	tazx
遝	tazd
趿	tazj
蹋	tazx
套	tcds
淘	tcdf
萄	tccf
涛	tcdc
洮	tcdd
滔	tcdj
陶	ycef
鼗	tcey
掏	tcff
弢	tcgy
啕	tckf
饕	tckl
桃	tcmd
绦	tcsm
韬	tcwj
讨	tcyc
逃	tczd
太	tddd
鲐	tdak
苔	tdck
薹	tdct
汰	tddt
抬	tdfk
泰	tdfu
钛	tdj
骀	tdmk
胎	tdok
肽	tdot
台	tdsk
邰	tdse
炱	tdsh
态	tdtx
酞	tdyt
跆	tdzk
特	tenc
铽	tejx
慝	tekx
忑	texx
忒	tvyx
腾	tgom
疼	tgbd
藤	tgcu
誊	tgdk
滕	tgou
汤	uhdp
溏	thdk
烫	thdh
淌	thdk
搪	thfk
唐	thgk
鄌	thge
螳	thit
螗	thik
镗	thjt
镋	thje
铴	thjp
嘡	thkt
耥	thlk
糖	thmk
膛	thot
傥	thre
趟	thtk
塘	thtk
埫	uhtk
躺	thuk
瑭	thwk
堂	thxt
劏	thxd
惝	thxk
棠	thxm
醣	thyk
羰	thyh
蹚	thzt
体	tirb
替	tifo
剃	tibd
鹈	tibn
荑	yicy
薙	ticf
涕	tidp
锑	tijp
啼	tikj
嚏	tikr
梯	timp
题	tior
剔	tiod
裼	xipw
倜	tirk
缇	tisr
绨	tisp
屉	tiuu
悌	tixp
惕	tixw
醍	tiyr
踢	tizw
逖	tizh
蹄	tizj
遆	tizj
谈	tjyh
瘫	tjbf
痰	tjbh
滩	tjdf
潭	tjdu
炭	tjeh
摊	tjff
探	tjfm
郯	tjhe
钽	tjjd
锬	tjjh
镡	xbju
叹	tjky
毯	tjmh
檀	tjmd
昙	tjos
袒	tjp
贪	tjrr
怹	tjrx
坦	tjta
坍	tjtd
坛	tjts
碳	tjuh
忐	tjux
谭	tjyu
听	tkkj
葶	tkcd
莛	tkcz
汀	tkdd
聤	tked
挺	tkfz
庭	tkgz
烃	tkhg
烶	tkhz
厅	tkid
蜓	tkiz
䗴	tkiz
铤	tkjz
梃	tkmz
婷	tknd
停	tkrd
艇	tkv
亭	tkw
霆	tkyz
廷	tkzr
天	tmad
舔	tmqx
添	tmd
殄	tmdp
掭	tmfx
畑	tmht
铦	tmj
田	tmku
阗	tmmb
腆	tmob
甜	tmqg
填	tmtb
畋	tmtw
忝	tmtx
鿬	tmut
兲	tmwb
瑱	vfwb
恬	tmxk
鲦	tnam
髫	tnak
窕	tnbd
苕	ucck
斢	tncu
挑	tnfd
蜩	tnik
粜	tnim
眺	tnod
祧	tnpd
佻	tnrd
脩	xqro
笤	tnvk
龆	tnvk
条	tnwm
跳	tnzd
迢	tnzk
托	toft
橐	toam
沱	todb
陀	toeb
拖	tofy
庹	togi
唾	toki
鼍	tokd
椭	tomo
驼	tomb
柝	tomi
鸵	tonb
脱	tooe
妥	topn
乇	topq
佗	torb
坨	totb
砣	toub
箨	tovl
酡	toyb
跎	tozb
贴	tpkk
萜	tpck
餮	tpdl
铁	tpju
怗	vjx
团	trkc
湍	trde
抟	trfv
疃	trtl
彖	trvu
同	tskk
通	tszy
痛	tsby
茼	tsck
彤	tsdp
潼	tsdl
捅	tsfy
铜	tsjk
嗵	tskz
哃	tskk
童	tsl
桐	tsmk
桶	tsmy
㛚	tsny
瞳	tsol
佟	tsrd
仝	tsrg
僮	vlrl
统	tsse
砼	tsu
筒	tsvk
恸	tsxl
酮	tsyk
图	tukd
突	tubq
荼	tuch
菟	tucd
涂	tudh
兔	tudd
秃	tuhj
徒	tuir
钍	tujt
吐	tukt
凸	tula
𬳿	tumh
堍	tutd
土	tuua
屠	tuuo
酴	tuyh
途	tuzh
推	tvff
退	tvzg
颓	tvhr
煺	tvhz
蜕	tvie
腿	tvoz
褪	typz
屯	vyav
豚	tyou
暾	tyow
氽	tyru
吞	tytk
臀	tyuo
饨	tyut
忳	tyxt
头	tzdd
投	tzfy
骰	tzg
偷	tzrd
透	tzzn
是	uior
时	uioc
啥	uakk
痧	uabu
莎	uacu
沙	uadu
鲨	uada
煞	uadh
裟	uady
厦	xxiw
铩	uajm
唼	uakn
杉	ujmp
歃	uaqr
傻	uarw
纱	uasu
砂	uau
杀	uax
霎	uayn
少	ucxp
勺	ucbd
芍	uccu
邵	ucde
召	vcdk
劭	ucdl
潲	ucdo
捎	ucfo
稍	ucho
烧	uchw
蛸	ucio
哨	ucko
韶	uclk
梢	ucmo
绍	ucsk
艄	ucvo
筲	ucvo
晒	udox
筛	udvj
酾	uiyl
设	ueyy
涉	uedp
奢	uedo
滠	uedy
摄	uefy
折	vefj
麝	uegc
厍	ueii
蛇	ueib
赊	uekx
社	uept
舌	ueqk
猞	ueqk
舍	uerk
歙	xirr
畲	uert
畬	yurt
佘	uerx
赦	uetw
射	ueuc
慑	uexy
深	ufdm
审	ufb
瘆	ufbp
莘	xbcu
葚	ufcv
沈	ufdv
渗	ufdp
渖	ufdu
燊	ufhm
蜃	ufii
呻	ufku
哂	ufkx
申	ufll
肾	uflo
𬳽	ufme
椹	vfmv
棯	ufmx
婶	ufnu
娠	ufnn
胂	ufou
身	ufpp
神	ufpu
甚	ufqv
什	ufru
伸	ufru
绅	ufsu
砷	ufuu
矧	ufuy
甡	ufuu
珅	ufwu
慎	ufxb
诜	ufye
谉	ufyu
谂	ufyx
生	ugpf
省	xkuo
湦	ugdu
嵊	ugen
剩	ugqd
焺	ughu
牲	ugnu
胜	ugou
昇	ugou
琞	ugoy
升	ugpc
绳	ugsd
声	ugup
甥	ugul
眚	uguo
笙	ugvu
珄	ugw
圣	ugyt
上	uhla
殇	uhdp
觞	uhdp
熵	uhhk
晌	uhok
伤	uhrl
绱	uhsk
墒	uhtk
垧	uhtk
商	uhwk
尚	uhxk
赏	uhxr
室	uibt
事	uial
鲥	uiac
鲺	uiai
豕	uian
䴓	uian
世	uiav
实	uibd
実	uibn
蓍	uico
莳	uicc
湜	uidr
湿	uidy
奭	uidb
浉	uidj
示	uiex
峙	viec
拾	uifk
拭	uifg
誓	uifk
势	uifl
施	uify
炻	uihu
轼	uiig
铈	uijj
鼫	uiju
嗜	uiko
噬	uikr
嘘	xuky
师	uil
史	uiln
驶	uimu
柿	uimj
始	uink
昰	uiov
视	uipe
襫	uipb
失	uipf
释	uipl
矢	uipt
祏	uipu
氏	vipv
狮	uiqj
舐	uiqu
使	uirl
侍	uirc
仕	uiru
螫	veti
埘	uitc
蚀	uiui
士	uiua
饰	uiuj
屎	uium
贳	uiur
虱	uivi
筮	uivr
尸	uivp
市	uiwj
恃	uixc
弑	uixg
式	uiyg
识	viyb
诗	uiyc
试	uiyg
谥	uiym
适	uizk
逝	uizj
山	ujlk
鳝	ujak
疝	ujbe
删	ujcd
苫	ujck
芟	ujcy
汕	ujde
潸	ujdo
陕	ujej
擅	ujfd
搧	ujfx
扇	ujhx
剡	yjhd
煽	ujhx
蟮	ujik
钐	ujjp
赡	ujkk
闪	ujmr
栅	vamc
骟	ujmx
姗	ujnc
嬗	ujnd
膳	ujok
衫	ujpp
缮	ujsk
埏	yjtz
舢	ujve
珊	ujwc
善	ujyk
讪	ujye
鄯	ujye
羴	ujyy
跚	ujzc
帅	uklj
摔	ukfu
蟀	ukiu
甩	ukpv
双	ulyy
爽	uldx
灀	uldo
孀	ulno
霜	ulyo
说	uoye
朔	uobo
槊	uobm
蒴	uoco
搠	uofo
烁	uohl
铄	uojl
数	uumw
妁	uonu
硕	uour
拴	urfw
涮	urdd
闩	urm
栓	urmw
束	uuan
薯	uuco
蔬	uucv
菽	uucy
殊	uud
澍	uudc
漱	uudr
沭	uudu
淑	uudy
隃	uued
抒	uuf
摅	uufx
庶	uugh
黍	uuhu
秫	uuhu
输	uuid
殳	uujy
鼠	uujv
𬬸	uuju
赎	uukd
竖	uull
墅	uult
树	uumc
术	uumd
梳	uumv
枢	uumx
姝	uunv
恕	uunx
暑	uuoo
腧	yuod
曙	uuoo
倏	uurq
舒	uurl
鄃	uure
毹	uurm
署	uuso
蜀	uusi
纾	uusl
属	uuuy
叔	uuuy
书	uuvd
疏	uuvv
熟	uzwh
戍	uuwd
塾	uuwt
孰	uuww
述	uuzu
水	uvln
税	uvh
睡	uvoi
谁	uwyf
刷	uxud
耍	uxen
唰	uxkd
顺	uyir
吮	uyk
瞬	uyol
舜	uypl
受	uzpy
守	uzbc
首	uzbz
兽	uzbk
瘦	uzby
授	uzfy
寿	uzfc
手	uzpl
狩	uzqc
售	uzrk
绶	uzsy
收	uzvw
艏	uzvz
这	vezw
扎	zafv
痄	vabv
渣	vadd
揸	vaf
炸	vahv
蚱	vaiv
铡	vajd
咋	zakv
哳	vakj
咤	vakt
榨	vamv
闸	vamj
札	vamv
柞	zome
眨	vaof
乍	vapa
猹	vaqd
砟	vauv
诈	vayv
霅	vayk
齄	vaza
找	vcfg
沼	vcdk
兆	vced
招	vcfk
肇	vchy
炤	vchk
钊	vcjd
啁	vzkk
棹	vom
照	vcoh
昭	vcok
爪	vxpn
罩	vcsu
赵	vctx
笊	vcvv
诏	vcyk
着	voyo
窄	vdbv
寨	vdbm
宅	vdbt
瘵	vdbx
摘	vdfk
择	zefl
债	vdrr
砦	vdv
斋	vdwe
遮	vezh
蔗	vec
浙	vedj
陬	zzey
蜇	vefi
摺	vefb
蛰	vefi
哲	vefk
鹧	vegn
辙	veiw
辄	veiv
锗	vejo
嗻	vekh
者	velo
柘	vemu
褶	vepb
赭	veto
喆	veuk
磔	veum
谪	veyk
真	vfub
臻	vfah
疹	vfbp
蓁	vfch
浈	vfdr
鸩	vfdn
阵	vfei
振	vffn
稹	vfhb
轸	vfip
镇	vfjb
帧	vgjr
针	vfju
赈	vfkn
贞	vflr
枕	vfmv
榛	vfmh
桢	vfmr
朕	vfot
胗	vfop
昣	vfop
祯	vfpr
斟	vfq
侦	vfrr
缜	vfsb
圳	vfti
畛	vftp
砧	vfuk
箴	vfvk
珍	vfwp
瑧	vfwh
甄	vfxw
震	vfyn
诊	vfyp
正	vgav
症	vgbv
郑	vgbe
蒸	vgch
争	vgdl
峥	vgel
拯	vgfa
挣	vgfl
征	vgiv
徵	viiw
铮	vgj
钲	vgjv
烝	vglh
睁	vgol
狰	vgql
整	vguv
政	vgvw
筝	vgvl
怔	vgxv
证	vgy
诤	vgyl
丈	vhan
瘴	vhbu
涨	vhdi
漳	vhdu
障	vheu
嶂	vheu
张	vhgi
蟑	vhiu
